Other renewables (Mt CO2e/TWh),Solar (Mt CO2e/TWh),Wind (Mt CO2e/TWh),Hydropower (Mt CO2e/TWh),Nuclear (Mt CO2e/TWh),Gas (Mt CO2e/TWh),Oil (Mt CO2e/TWh),Coal (Mt CO2e/TWh),Biofuels (Mt CO2e/TWh),Traditional biomass (Mt CO2e/TWh)
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.090428367,0.247017060,0.203714867,0.000198082,0.062163541
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.091446207,0.246879973,0.201164968,0.000197495,0.062151509
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.092760252,0.244883841,0.203240414,0.000188731,0.061041091
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.093190063,0.244916480,0.204580874,0.000185560,0.060510434
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.094143838,0.241967362,0.208747357,0.000206922,0.059249529
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.093904609,0.239789642,0.220343353,0.000227164,0.056842207
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.093449676,0.238849404,0.225608835,0.000258954,0.053690894
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.093129222,0.234910173,0.235322547,0.000293238,0.051772451
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.093229033,0.231584496,0.241470378,0.000359324,0.050151345
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.094449023,0.228007276,0.248334521,0.000464785,0.048473349
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.095748545,0.223820866,0.249163343,0.000629368,0.047646436
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.095213074,0.222197437,0.249304861,0.000729261,0.048045163
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.098005613,0.219695425,0.249531288,0.000791021,0.045715729
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.098334436,0.216818246,0.255893298,0.000816171,0.044360416
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.099702313,0.217560856,0.253470959,0.000838118,0.043395804
0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.099716414,0.216386880,0.253287741,0.000894208,0.042321069
